firestore_id,logistics_chipid,total_count,resend_count,startup_count
LBXhaEoMpKk5A1oaqcXX,0000079,741,79,12
LOWw6v1sMiWhjMzl3UW3,0000127,384,18,3
Lvg1tsTcGC6xSqnGjU9r,0000094,0,0,0
MBb5BUEyhZaTGincPv9Y,0000289,781,77,5
N6pZmaUdTT8DlKqyhQ6B,0000111,1225,1173,8
NKIZfJVCNKVpMwYMSqJ2,0000251,0,0,0
NhDu4jmNyRBHN0AXs4WX,0000057,2194,0,5
NnjohkfnEQd4jfS0AcKP,0000130,3814,7,5
IE2Jcd82yT8fP9yu0mtQ,0000221,0,0,0
OsLYSgCvjezjWTRuB3gZ,0000200,836,16,5
P45ND3hRhmJbYA8dQwpN,0000242,3854,31,10
P4EKV4P1V96AVrGmfAwl,0000131,780,5,8
PAl3LBsvwvHC8zTyTwWc,0000280,637,40,8
PJ3DX6Kg9JKkLuEePjnS,0000032,771,6,6
PMUF0xaM9XLGaE9kbaWf,0000180,7332,701,10
PeHiKgFWvuHbX9mjtngD,0000298,698,11,5
Pkh4bCDMgrl3e3ZWgjFs,0000284,1222,178,10
Q3WDI9N6sRqfQqFT5iKi,0000087,1846,7,8
Q3jV1EKBsqQHtJMX0xPg,0000325,348,2,6
QWr74LdN4RoG62w4Enmm,0000184,1150,71,6
Qd4tpsmFik76RoepDiGh,0000311,845,12,6
Qjl0hwJhlionGA0ekZVq,0000346,791,16,5
QkyhmYiWAOS3FJvxETWv,0000112,889,19,41
R1GCiqqraLLx3Dyws9jm,0000287,762,195,5
R3wIlGCSDFDYrqxpIVnM,0000249,658,3,9
RG006euvaTrJxD2B6vW3,0000263,0,0,0
RHLZx1TPjPmqdSRBLClb,0000202,1173,12,5
RMCS8gl8u9bafVgUXHTm,0000262,85,8,6
RZNys5RH8JKhYlyEk5bY,0000136,587,0,4
RaaWGNOYmV7ZwQSDbNdr,0000047,1031,11,6
Rkbda6q20Wjmt7AK0YEt,0000091,768,67,6
SDa05Ac7dGaKjrItgd9K,0000134,2487,23,12
SJpcxzvjMpTb8kLWzX3f,0000303,226,1,10
TPHUNe6O77L84uO7iDGI,0000258,2959,38,5
TalQWC2Aa2UTK0qnWEbr,0000119,944,176,7
TbfC7UAX6E3bhjdZCVp9,0000254,880,31,5
Ob937FPN1RqXQHqmT35L,0000008,0,0,0
UpUNhyUJSB2KvQIO52mi,0000241,0,0,0
UutY5k48VyfeltGClR6M,0000183,643,85,5
V7CCg4WiAB6TMQnizIUT,0000343,304,20,13
VMS7UJV1dE9l9Ljhuu7n,0000141,2076,52,3
VzG4f2D1C3H0TIAccikz,0000092,673,66,6
W35HTjn2G1WQlejZMSQf,0000022,5660,267,6
W8NRCcinyPCVFQa24hoJ,0000314,140,1,1
WGhnqCVgJQgln8mWDZIr,0000207,648,9,5
WVtl4HBhYswCgFz8g8sL,0000170,1289,7,5
WZNZ1o8m7Y0VVuzoPJtj,0000231,0,0,0
WkrUHnCRBCDCehYggI2b,0000206,805,4,28
XoSIuiCPcjpixBLr1OdG,0000026,814,65,6
Xxy3MC9gJW9waQRK88Jq,0000126,844,32,8
Y6EeaR3eZkrLCtijB9R0,0000185,619,37,5
YGeqyKhgQcBl9pBFHyS9,0000089,684,0,19
YKfDGkn8yDyYRLSMO1RH,0000182,6031,662,6
YQd17i3eWRZVCKvuglnq,0000293,1282,569,5
YRFMlVollqUjh9fEjIGr,0000137,780,24,5
YiAn3u1WjSdAFjCZrFmB,0000140,805,0,12
Yk3l8ciEWjgmvVL9ev7r,0000236,2903,28,5
YkTmc8HpoqRvQowqoIRh,0000307,0,0,0
Yz8wEQ0pLsIcv4rWIP2p,0000316,1307,5,5
Z0CkwUvA09K7y5FBW4Kc,0000351,528,6,22
Zc2SsiNwr61YXpedD9na,0000337,110,5,17
ZtpDY2YTy8qlBofjWj6G,0000138,798,2,5
aZQVXgAf4kuKML8ICvpV,0000369,401,7,13
UAloa4jVQnxglPnrWkVC,0000272,633,7,6
bcwRtOTaaTWYGcmPDkmf,0000234,214,5,1
bhJRjqxE0DTFyli7cwVK,0000048,722,1,6
bpZ59CpYUwev9QDOuANm,0000377,289,3,4
cNYiCD0w4QkKOJOpbvli,0000191,794,70,6
cOkqjk19MoFFXt134JxH,0000195,691,12,5
cacruILKjyDWUdRBlyQM,0000088,789,0,8
co2lvnc1QT5PeQwTI0aP,0000190,1073,86,6
dDiSHuas6Gr8E72StxJ6,0000053,815,1,6
dErbONSrGsMB719L0sU4,0000037,0,0,0
daC1v2qI0J6QhuzPgHNC,0000224,782,3,6
dbl9bUZmKCYoPjOL2PSu,0000324,164,2,8
eDsJc0SUkHK0OZdZzb40,0000353,477,1,10
eQKk7ebmdt0CqYalXiQv,0000261,403,3,3
exIlvBYZvyB572h9byLo,0000110,843,1,6
fP3ZD3KigcTihznxGR7R,0000085,4208,704,6
fPPNFyDjsSpDzEfQgPly,0000060,2606,13,5
fZKcpKmwL0ivt9CV99bb,0000027,1227,7,5
fdIPrP31WeltdJM5EE0Y,0000318,49,1,7
g4lT7VMHRTsx6nSBO9au,0000354,442,5,17
gPDFd72nFaa5TqIJiHcg,0000310,559,28,4
gRV0SVf7XugTKAapNc5j,0000233,2415,21,8
gib5tKSuVj1gCz2JSxD8,0000063,808,0,7
gswmwcMFeI2FcIvCXa0H,0000143,2178,13,5
gxBx15aEQaLldcOHBFyg,0000145,6793,0,5
h1hFgDom6tUfmwvI0wuz,0000012,6940,15,11
bV3uDREYeos7rxwBpwop,0000383,41,9,2
hKPCvdi7PycIXnLQhw07,0000107,651,65,5
hgt49r5QjioULwyKcjKp,0000163,809,4,7
hla6HJBypPdGFQHZ3G0F,0000144,770,9,7
hlivnKkAZLOG0y6GhmFY,0000219,426,3,4
i2cHW5sKk6SbKhw6vMQA,0000090,1259,68,6
iRsJIH7vK2UIstKODSL8,0000372,122,1,11
iZJc3l9Pt3iTt96ITcE9,0000217,825,69,5
itQ30fdebHn35dlqZi7G,0000149,1135,1,7
j2CpylTdGoF3raerivB5,0000024,1569,120,6
jZ5jLo6ku37kNTbPzq9c,0000276,734,20,19
jhF1YlrAF1mwAlXeA6JY,0000215,768,66,5
jjVHcKVCIlC0AFdGptQb,0000086,774,4,8
jr4cUZ4NOXblssNK9wjv,0000339,299,14,16
kIMGTR7Arf3ccceipVp9,0000102,779,65,6
kUVlXgFqTud9o1LyDANC,0000203,0,0,0
kZQTXlRQStl2vicybFiF,0000245,780,11,5
kenbizmE2VD33TykGwep,0000103,775,68,9
kfiNaSZpUBm90riaujt7,0000058,936,4,5
kirQgm0cmpeCIWTeKTiB,0000192,737,498,7
kqNEvNHbGaT52rkqt3ke,0000255,558,238,5
l1CpGVOrZcLhf815bEx1,0000296,605,76,6
l3BfsRnHEH4Xjy7whIiK,0000084,783,8,9
lGF33paweB6uoABhKMWB,0000352,286,3,14
lZpQLONMM8VyPdSpkS14,0000334,243,3,19
lgnRPlCQ3nHAMDPJFpQY,0000095,910,10,6
llMrxzJt5W706uVb3GNE,0000099,1756,139,6
lnGlEn27pFhgcmX4s8d3,0000305,725,4,5
m4D1c7T3vQFIHeHHfd6P,0000015,790,4,10
hK08lThw6oxFAaD0cLac,0000421,0,0,0
mKvFAPQaQhYVU55PNKTs,0000197,0,0,0
mOkiggMUtTagiAoCopiT,0000108,0,0,0
mUukEewtHaYrGbKWalMp,0000049,786,1,17
ntt0Q5rzjWTYPJZuCKo9,0000056,0,0,0
nvV2sQTuoQjPrnrMlOY2,0000226,1609,35,7
oBGvAr84hVILmb3uZb3B,0000244,988,7,6
op6WwwG9OWQHjmdfcDs8,0000019,994,47,17
orWRPdu9uabNt7ZEs3e5,0000152,6838,8,28
pCSwAMaHiTgD9FR3bs0v,0000175,605,69,6
qIHhz85iDv4Mw1tPf287,0000278,657,58,6
qn1cnhu9pMBN2ixa9q3N,0000115,770,10,6
qsf7duqzwCq1hY6VBNf0,0000178,2246,73,6
rZER0FOmqmaSkYKvB4iw,0000151,802,6,6
rghnMxoA5coO7ixBNV9Z,0000073,1624,371,6
rkU3fzH3Fm5GW8ymENTn,0000074,987,92,6
rv4Iyk51k3yGDX7w5ImN,0000214,353,64,2
sBENLodFQYGiXsRWio4I,0000158,774,2,7
sCyVRhOpPOT0reoVoXsG,0000106,0,0,0
sNxfjC5EQj3h3O1lrMq1,0000216,643,15,10
sb9yMqE4M9Ip4MLCBTaH,0000153,511,3,5
spMnX4RXbKigz3ZpxQ2O,0000124,2282,5,5
svg6lDw4L9IyN4vTCPUs,0000071,777,67,6
sw1HqBTQEslXa82Hkpee,0000054,791,4,13
t77pDO80D3GZYDXL9NJ7,0000319,566,8,4
mLgeSLwkHbBV9WDtY4tp,0000382,26,1,1
tWZTWcQAK5nu53w8yrAb,0000336,721,2,13
tZ25dj6aplgv8cFjfkNn,0000006,772,8,6
tlxYBbwfyMc97UmluhWO,0000174,827,74,5
tqyZDNo1AEYTK5cqwym1,0000023,788,65,6
uhPRhcvov7lHSqAxuQgi,0000155,494,1,4
ukcc0MQb5ZSaYJbk5uU3,0000120,2825,294,5
vENbzw2kW3UlUeWYVgsf,0000356,40,0,5
vWd5razKGu58e0ldWPfW,0000039,784,1,5
vYADku8iOG1JNCsnpiDM,0000156,765,0,5
vhpyZetB2L020gzfWKQk,0000068,830,77,5
wCx8AS7cSwafv5iNCRri,0000109,1385,204,7
wsIQ47eVLdoepF8qc2kc,0000250,0,0,0
x0Av0vCjtV9yqHsYj0xM,0000271,680,9,5
x9fClkBcvB171BD0svEW,0000100,769,73,6
xuiTIWgtamy5q2nTGp9T,0000077,1155,52,10
yO4s7tIRDPm5eYsQoIas,0000228,0,0,0
yTNa8tnecVc4eYwvXpGI,0000279,779,30,5
yXHlmHEtfIV0iXfvnELu,0000358,780,20,5
ym27SKzTk6qXtxVy4lWn,0000181,720,330,5
ysb5idIYOIwJyRIqet4Y,0000065,528,6,7
zFTWxycOR4SuJ0IGCweV,0000252,794,21,32
zRQEGipBuoivOWCCDy0i,0000164,817,0,5
zS22CNDjRcg527acdpxd,0000025,2386,381,5
zUTRZO1C5mYINtZoJDet,0000297,44,0,1
zbRWF84zMVo2DLURhbIc,0000171,647,73,5
tK7ZRsIqfi21A7XLFcW5,0000160,0,0,0
0HDsJQ03VeAUrLNPlEGd,0000165,802,7,5
5JjDiChqSUsENTAW6yES,0000042,791,30,5
5cS7wiuGJXQRTWXlRVUu,0000299,847,29,8
COpMLga290bSz8YTk5Lx,0000270,1130,8,9
DAr8gaPdoPADPKi4S4Te,0000080,863,70,6
Hput6dpVIymunVKlxTcc,0000098,2151,1464,10
OMb7tuwwkKyKUtoFe7kP,0000274,463,83,16
TzotS00R9cOM9t6PXQ29,0000328,437,15,23
VC1I3me4foIS7wHp2FZK,0000013,777,2,6
bHyJEZGIlNWugsp8ipyu,0000139,779,0,5
brtZcu5lAgEqDpLQxMcP,0000235,264,1,4
mvQXvitrB7qBcz8vwhKB,0000338,499,16,7
tCVjLbecZVKZB5kW7Ynq,0000017,788,7,12
tXO3bt5eero8PGVbEGPA,0000253,700,11,5
zdFvavzgAVCYaLuQC61i,0000367,127,1,11
zeiTqKGBP9kpJREcY4pD,0000313,690,6,6
zkLuybNPoNiD2ud5ZGBr,0000294,609,71,5
0Ua8vnHE4B3IZa1dpl5l,0000340,27,1,1
0mAGBXVReTRIpGDx4vwD,0000384,15,2,5
1ChdJgl0UxNzisw3kEdQ,0000266,0,0,0
1OvTs14LnWPyZWnW5BP5,0000362,0,0,0
1WXVT8fU8Kkf8PgL16sJ,0000398,3,2,1
1i2itkXh3nDaxENg0fOK,0000213,0,0,0
38yxhLtdjLE7GbJw0kGJ,0000205,0,0,0
3LEZxiIXM9qdYU2c9Tq6,0000196,0,0,0
3VSCPzTeAY1slzIpTAyN,0000034,0,0,0
4ClMCCoMzqDZA3anNNgG,0000035,1078,813,9
4FozQWxVUTWHn0UVaXQh,0000380,127,4,19
4HT5qqYFRuUHhRXWk22G,0000301,0,0,0
4w8XSUFVtbLhMN92Ld4p,0000376,0,0,0
6mh6X2cGXYCiwEicdloF,0000269,0,0,0
6u8ctW875TYcafVHXFqr,0000046,0,0,0
A0Cfsls76Py8qCAje1t0,0000423,0,0,0
ANTvziRY40NO7fiMhjPt,0000169,0,0,0
ARPdpRPLGFNp3ZlYLg1T,0000381,17,0,3
AUBhWLqBVPiv75b6DAiL,0000390,87,3,3
hFO1qPqVYvGHp42XOqhd,0000386,29,0,3
mBz7MUTxxihLqAnA3Tsh,0000118,666,3,5
AhZPybb38EZFmQikajff,0000426,0,0,0
BhROyuwNIcndgNwf8MqI,0000374,0,0,0
BtYbEUOTMoXpj7cyphd0,0000040,0,0,0
CDlH0XNutkD0b32iY5vj,0000427,0,0,0
CNE51g3CDDILvQOCwFDZ,0000240,0,0,0
CWkwv2ksWDISXyt2VfAu,0000417,0,0,0
CoTqUxfGU0gddStiSswU,0000061,528,8,5
CyykmqcVKSezvDAXbL4O,0000218,769,17,8
DDmjF8dyUwv1XzpNc1bF,0000366,23,1,2
DRZXmTZBkLYmdCXA84zF,0000292,0,0,0
DuCML5zTGXeXERGMmWhq,0000400,0,0,0
F6EQRxzkshnJoj8kUC8d,0000237,0,0,0
FQqvWqSodGnUYR5jgN8O,0000379,0,0,0
FpLJt9UVUUzLXrNjkEjZ,0000415,0,0,0
G0Psu8LyXxcTD9yR1NPT,0000411,24,4,3
HVmr68UDf797Zjo1lYdc,0000329,30,0,3
Hkr7hiUDZtuKB1FXyg6W,0000166,1246,16,5
HowlzQyCDZPBOYpGcNk3,0000211,2109,192,5
IppC9pTefcnFFHc1fE9N,0000394,14,0,2
J0AOQDhNjhk95tp0MxK3,0000173,0,0,0
JLQYNvVx6crzBq6lQzkK,0000157,936,7,5
Js52qllXxBRWHwHLmfFH,0000408,0,0,0
KBFTP028svbbRAWZATdB,0000302,0,0,0
KFFGVnNxEsCXK1bDMSUY,0000412,0,0,0
KNhuLTcNvEN6LFa6FQMd,0000401,179,7,6
KgfF5nTaNkkMYJxxZnta,0000370,69,1,2
L82x1yrHXH4ZXrRM1B89,0000199,683,12,6
MOMenQIfTSr5ddJDcjbX,0000018,323,3,6
Nyb5qBMg6SYp7Jbb2n4f,0000007,108,56,55
PF5atJ8nGdCzibQAITvL,0000364,6,0,2
PYB38d7rcxfgqckJXBXv,0000179,3235,2400,5
Pu2UnFEsckNyYqwSyXqO,0000371,21,2,1
QZp1P3OTqGPOwQZejxke,0000424,0,0,0
QjAmBJeNiyxkKHxzqfgz,0000397,0,0,0
RPOD4OlPVFpfz1KjRjJ5,0000420,0,0,0
RXeF0aVHMpzp77OiZPwA,0000076,0,0,0
SWjF3wKtzHDlnHgi3Xq1,0000373,11,0,6
SihNODayjB6FqVfMvMrD,0000327,160,2,12
Sun5XQKWVRVmCzT0IwfT,0000333,62,5,5
TW01L9Et8QHcAiBb6NlU,0000135,745,9,6
TrCS6A819hnlE5OQVzJB,0000342,1,0,1
UMyxhzUjZSOz7pZDBUXY,0000051,640,1,4
UTc3LbVQhOkmKzGhUL1N,0000393,136,33,10
Ud94ExuwIDOmNQUfFlYG,0000069,0,0,0
Uzd9ag9RuWFwA55d0ies,0000114,0,0,0
VHO92aPkN2jxtv4dSvLC,0000257,0,0,0
VJ8qEsuQu6W1n1vpRvi0,0000326,0,0,0
WQkxUzqmdg6QQztLNidH,0000391,27,0,7
Y7IH2I0F7Q3nsWV3NE6N,0000259,67,1,1
Yk0PQKI5DLNfLJQXw9tZ,0000368,0,0,0
ZjgbMxp5exBsqC8BS78y,0000265,0,0,0
aNTndJZN6KlZtFwC9gq5,0000194,0,0,0
aaMXVZjZTdq4JUuk2LfJ,0000121,410,61,3
ahw1ggbdI4zh0aKRcJVm,0000405,0,0,0
bWnRtpHrEyvZGmhYf8fa,0000422,0,0,0
bqp5k4Z6ibpGn10loSmK,0000389,0,0,0
bzblQfm7lHvvLv1VbyyX,0000005,0,0,0
c1YQrBGJhC1T0ikdWaCp,0000396,0,0,0
ciRnwBd0A07qsbkGU2KT,0000404,0,0,0
eoZNUL5pAYwMdwhIh6Nj,0000403,0,0,0
f3FZFxEneb0A7UZ1kOJV,0000059,777,0,8
fa8gcnx2oko8lHqQy5VV,0000406,2,0,2
ftZbUTI0Qsl6QhG9KGBv,0000117,0,0,0
fvhoPYXzTqRqr5ZTACKF,0000416,0,0,0
g4WP8I3qTktKtTkRCvvu,0000062,246,4,2
gAe9bJ6kA5licnnEafYD,0000264,0,0,0
gKOu8Q54k5xv5eEdwfHa,0000418,0,0,0
gRC8w1eDjqEAq7psRdCK,0000142,546,3,7
hT3OHcYwBsWz4RGNV0KK,0000430,0,0,0
iUKrrHEUWBkDxMhiqDEq,0000413,0,0,0
j2j2wxd9hnTTMnLQcoFF,0000070,0,0,0
jHYWpC4lcdNwqsMKbrgw,0000348,130,9,9
jTT5hOgI71uiJ8xVh3dz,0000345,34,0,3
jdaPOZ4N1OLrUQ11OyGh,0000363,21,1,2
jmrGjJ8ISoNNmvCCDYx9,0000147,0,0,0
jtE6NsAFxT3tjVzqqNQS,0000335,357,4,13
l6UH3RV6bNyQJHRC8Zxy,0000425,0,0,0
lPRPGVTBY72xnQgtFXYV,0000167,768,5,5
lZhxwpaZKmRpd72jg92f,0000150,774,9,5
miW3Jwbuoku2mZ21mNbD,0000414,0,0,0
moQBdXmB1lOMsy7BeMiT,0000399,3,0,1
n2n3zpEYOBX1rddz4Zo6,0000341,11,0,2
nyv53p0tntpbwtdJpsKE,0000407,53,6,12
oZglad62srzTFateEXCR,0000395,0,0,0
obYTP956gDK3bX9mYafJ,0000210,0,0,0
ocRgM09c858uW993yffj,0000429,170,0,20
p5sEyK8qn2aJuixqALp0,0000402,0,0,0
p66PXBX1nA5ZAWAP3Thj,0000225,0,0,0
pS0D6vHrycPRIfKf0ZdB,0000392,69,4,7
rUW2CkT7JvdnqQyb76Kp,0000409,0,0,0
rbbX8Rum4ObFt5O2yzzG,0000300,0,0,0
sivucBbWSfFxNBP3MpIj,0000419,0,0,0
syMFY5LQPwUN6FiC7F6f,0000172,0,0,0
t71IZsd8iEEvKYO4JN07,0000066,0,0,0
thgzEp4prMIYN3vEsvkg,0000361,6,0,2
tpJ5UTzSKIRypJ41tr1L,0000248,0,0,0
uGu15ZCwqowwGyMv04cc,0000428,865,26,22
uiZMPk1II3hxiiIxynFb,0000375,1,0,1
uxxkqHtAYTRgdimhunQw,0000161,3,0,1
uznNyjjhcqHtG2mc0RgI,0000105,0,0,0
vZJJp2PPgocm6GUetNCm,0000072,0,0,0
wWd6gkHrgNWbM9Mrjdud,0000388,72,12,3
wXdAn93uQF8PVSJn59s9,0000168,116,2,1
wbDlZYCdvwc0FUnkjH7u,0000410,0,0,0
xaTfUujQWrcqZWvTPF3u,0000238,0,0,0
xzy1tF0JkJE1gxZzBb8x,0000350,6,1,3
yClyShwFVls0rpzLy6mU,0000283,0,0,0
zNCeoRAO75xq1RDY51HE,0000267,0,0,0
